transfer_values,mean,max,min,city1_ro,city2_ro,total_ro
0.0,11.499999862,14.99999982,7.999999904,7.79541951977,13.9609049988,12.0712059546
0.1,11.499999862,14.99999982,7.999999904,9.51301613194,12.9319436731,11.5231843751
0.2,11.499999862,14.99999982,7.999999904,9.92144939196,12.9676501844,11.720505811
0.3,11.499999862,14.99999982,7.999999904,10.5073158169,12.7140745629,11.7228194381
0.4,11.499999862,14.99999982,7.999999904,10.5238337468,11.8348942816,11.3409397015
0.5,11.499999862,14.99999982,7.999999904,10.5759636361,12.0180223394,11.4957857445
0.6,11.499999862,14.99999982,7.999999904,10.9119584078,12.0733271172,11.5667282906
0.7,11.499999862,14.99999982,7.999999904,10.6398512789,11.9365779569,11.3317570281
0.8,11.499999862,14.99999982,7.999999904,10.8186963121,11.8565100062,11.1422176034
0.9,11.499999862,14.99999982,7.999999904,10.8792808393,11.8269631861,11.3447733345
